,date,street,level,median_length,median_delay,median_speed_kmh,median_record,id,y5,y3,y4,city
2297,2022-07-14,Leuwipanjang,5,22.0,-1.0,0.0,60.0,2022-07-14_Leuwipanjang,3,2,1,KOTA BANDUNG
2298,2022-07-14,Lodaya,2,487.5,90.25,11.7149995,6.0,2022-07-14_Lodaya,1,1,3,KOTA BANDUNG
2299,2022-07-14,Logam,2,521.25,122.75,8.3075005,3.0,2022-07-14_Logam,4,1,0,KOTA BANDUNG
2300,2022-07-14,Mahar Martanegara,2,539.0,101.0,12.06,9.0,2022-07-14_Mahar Martanegara,1,1,3,KOTA BANDUNG
2301,2022-07-14,Mahmud,3,520.0,65.0,13.89,14.0,2022-07-14_Mahmud,1,0,3,KOTA BANDUNG
2302,2022-07-14,Majapahit,3,217.0,122.0,5.3825,1.5,2022-07-14_Majapahit,4,1,0,KOTA BANDUNG
2303,2022-07-14,Maleber Utara,3,850.0,166.0,15.795,10.0,2022-07-14_Maleber Utara,1,0,3,KOTA BANDUNG
2304,2022-07-14,Margacinta,2,1012.0,126.0,16.1,31.0,2022-07-14_Margacinta,0,0,3,KOTA BANDUNG
2305,2022-07-14,Maulana Yusuf,3,241.0,104.0,5.97,17.0,2022-07-14_Maulana Yusuf,4,1,0,KOTA BANDUNG
2306,2022-07-14,Mekar Utama,4,213.0,239.0,3.02,10.0,2022-07-14_Mekar Utama,4,1,0,KOTA BANDUNG
2307,2022-07-14,Melong Raya,2,727.0,64.0,14.98,2.0,2022-07-14_Melong Raya,1,0,3,KOTA BANDUNG
2308,2022-07-14,Melongasih,2,455.0,76.5,12.06,7.5,2022-07-14_Melongasih,1,1,3,KOTA BANDUNG
2309,2022-07-14,Merdeka,2,919.0,86.5,17.45,12.0,2022-07-14_Merdeka,0,0,3,KOTA BANDUNG
2310,2022-07-14,Mohammad Ramdan,3,429.0,84.0,10.72,9.0,2022-07-14_Mohammad Ramdan,1,1,3,KOTA BANDUNG
2311,2022-07-14,Mohammad Toha,3,874.0,119.0,13.76,38.0,2022-07-14_Mohammad Toha,1,0,3,KOTA BANDUNG
2312,2022-07-14,Mustang,4,227.0,424.0,1.74,32.0,2022-07-14_Mustang,4,1,0,KOTA BANDUNG
2313,2022-07-14,N11 Flyover Cimindi,2,632.5,93.0,16.015,7.0,2022-07-14_N11 Flyover Cimindi,1,0,3,KOTA BANDUNG
2314,2022-07-14,N11 Flyover Kopo-Cibaduyut,5,1194.0,-1.0,0.0,120.0,2022-07-14_N11 Flyover Kopo-Cibaduyut,3,2,1,KOTA BANDUNG
2315,2022-07-14,N11 Jalan Raya Cibiru,3,380.0,128.5,7.1949997,10.0,2022-07-14_N11 Jalan Raya Cibiru,4,1,0,KOTA BANDUNG
2316,2022-07-14,N11 Jenderal AH Nasution,3,477.0,192.0,6.73,12.0,2022-07-14_N11 Jenderal AH Nasution,4,1,0,KOTA BANDUNG
2317,2022-07-14,N11 Jenderal Haji Amir Machmud,2,1522.0,98.5,23.47,38.0,2022-07-14_N11 Jenderal Haji Amir Machmud,0,0,2,KOTA BANDUNG
2318,2022-07-14,N11 Jenderal Sudirman,2,936.0,84.0,18.485,8.0,2022-07-14_N11 Jenderal Sudirman,0,0,2,KOTA BANDUNG
2319,2022-07-14,N11 Rajawali Barat,2,1007.0,74.0,22.13,29.0,2022-07-14_N11 Rajawali Barat,0,0,2,KOTA BANDUNG
2320,2022-07-14,N11 Soekarno-Hatta,2,1055.0,105.5,18.37,65.0,2022-07-14_N11 Soekarno-Hatta,0,0,2,KOTA BANDUNG
2321,2022-07-14,Naripan,2,600.0,79.0,13.02,9.0,2022-07-14_Naripan,1,0,3,KOTA BANDUNG
2322,2022-07-14,Otto Iskandardinata,3,1086.25,116.25,11.835,12.5,2022-07-14_Otto Iskandardinata,1,0,3,KOTA BANDUNG
2323,2022-07-14,PHH Mustofa,3,969.0,108.0,14.455,21.0,2022-07-14_PHH Mustofa,0,0,3,KOTA BANDUNG
2324,2022-07-14,PSM,2,634.0,70.75,14.45,6.0,2022-07-14_PSM,1,0,3,KOTA BANDUNG
2325,2022-07-14,Pacuan Kuda,2,696.5,70.5,16.7625,2.5,2022-07-14_Pacuan Kuda,1,0,3,KOTA BANDUNG
2326,2022-07-14,Padasuka,2,509.0,100.0,8.72,8.0,2022-07-14_Padasuka,1,1,0,KOTA BANDUNG
2327,2022-07-14,Pagarsih,2,834.0,98.5,12.68,13.0,2022-07-14_Pagarsih,1,0,3,KOTA BANDUNG
2328,2022-07-14,Pagermaneuh,1,596.0,66.0,13.02,11.0,2022-07-14_Pagermaneuh,1,0,3,KOTA BANDUNG
2329,2022-07-14,Pahlawan,3,290.0,75.0,7.035,6.5,2022-07-14_Pahlawan,4,1,0,KOTA BANDUNG
2330,2022-07-14,Pahlawan (Jalur Lambat),2,179.0,84.75,5.01,7.0,2022-07-14_Pahlawan (Jalur Lambat),4,1,0,KOTA BANDUNG
2331,2022-07-14,Pajajaran,3,990.0,99.0,16.745,23.5,2022-07-14_Pajajaran,0,0,3,KOTA BANDUNG
2332,2022-07-14,Palasari,1,362.5,65.0,9.7,1.5,2022-07-14_Palasari,4,1,0,KOTA BANDUNG
2333,2022-07-14,Panjunan,3,393.0,164.0,6.09,8.0,2022-07-14_Panjunan,4,1,0,KOTA BANDUNG
2334,2022-07-14,Papanggungan,2,631.0,60.5,17.95,4.0,2022-07-14_Papanggungan,0,0,3,KOTA BANDUNG
2335,2022-07-14,Parakan Saat,2,725.0,89.0,11.74,12.0,2022-07-14_Parakan Saat,1,0,3,KOTA BANDUNG
2336,2022-07-14,Pasir Impun,2,673.0,66.0,15.49,2.0,2022-07-14_Pasir Impun,1,0,3,KOTA BANDUNG
2337,2022-07-14,Pasir Koja,3,608.0,94.0,12.0,18.0,2022-07-14_Pasir Koja,1,0,3,KOTA BANDUNG
2338,2022-07-14,Pasirmuncang,2,364.5,85.0,7.185,11.0,2022-07-14_Pasirmuncang,4,1,0,KOTA BANDUNG
2339,2022-07-14,Paskal HyperSquare,2,449.0,119.0,7.29,9.0,2022-07-14_Paskal HyperSquare,4,1,0,KOTA BANDUNG
2340,2022-07-14,Pasteur,3,630.0,108.25,12.0925005,17.0,2022-07-14_Pasteur,1,0,3,KOTA BANDUNG
2341,2022-07-14,Pelajar Pejuang 45,3,676.0,106.0,12.64,9.0,2022-07-14_Pelajar Pejuang 45,1,0,3,KOTA BANDUNG
2342,2022-07-14,Perintis,2,661.0,72.0,14.66,7.0,2022-07-14_Perintis,1,0,3,KOTA BANDUNG
2343,2022-07-14,Pesantren,4,189.0,142.0,4.03,5.0,2022-07-14_Pesantren,4,1,0,KOTA BANDUNG
2344,2022-07-14,Peta,2,956.0,110.0,13.7,15.0,2022-07-14_Peta,1,0,3,KOTA BANDUNG
2345,2022-07-14,Prabu Dimuntur,3,307.0,125.0,7.38,13.0,2022-07-14_Prabu Dimuntur,4,1,0,KOTA BANDUNG
2346,2022-07-14,Prof Dr Ir Sutami,3,790.5,113.25,10.06,21.5,2022-07-14_Prof Dr Ir Sutami,1,0,3,KOTA BANDUNG
2347,2022-07-14,Prof Dr Surya Sumantri,3,879.0,103.0,13.105,9.0,2022-07-14_Prof Dr Surya Sumantri,1,0,3,KOTA BANDUNG
2348,2022-07-14,Prof Eyckman,3,265.0,132.0,4.51,16.0,2022-07-14_Prof Eyckman,4,1,0,KOTA BANDUNG
2349,2022-07-14,Prof Mochtar Kusumaatmadja,2,1548.0,138.0,25.58,9.0,2022-07-14_Prof Mochtar Kusumaatmadja,0,0,2,KOTA BANDUNG
2350,2022-07-14,Pungkur,2,619.5,81.0,13.78,13.0,2022-07-14_Pungkur,1,0,3,KOTA BANDUNG
2351,2022-07-14,Purnawarman,3,237.0,105.5,5.86,6.0,2022-07-14_Purnawarman,4,1,0,KOTA BANDUNG
2352,2022-07-14,R A A Martanegara,2,642.0,80.5,14.645,7.0,2022-07-14_R A A Martanegara,1,0,3,KOTA BANDUNG
2353,2022-07-14,RA Wiranatakusumah,3,897.0,98.75,13.6874995,11.5,2022-07-14_RA Wiranatakusumah,1,0,3,KOTA BANDUNG
2354,2022-07-14,Rajawali Timur,3,222.0,108.0,6.1,11.0,2022-07-14_Rajawali Timur,4,1,0,KOTA BANDUNG
2355,2022-07-14,Ranca Bentang,2,246.0,161.0,6.8,1.0,2022-07-14_Ranca Bentang,4,1,0,KOTA BANDUNG
2356,2022-07-14,Rancabali,2,409.0,85.0,8.05,7.0,2022-07-14_Rancabali,4,1,0,KOTA BANDUNG
2357,2022-07-14,Rancabolang,2,736.0,83.25,14.59,4.5,2022-07-14_Rancabolang,1,0,3,KOTA BANDUNG
2358,2022-07-14,Rancapacing,2,1010.0,141.5,16.9925,4.5,2022-07-14_Rancapacing,0,0,3,KOTA BANDUNG
2359,2022-07-14,Sadang,2,422.0,64.5,9.9200005,11.5,2022-07-14_Sadang,1,1,3,KOTA BANDUNG
2360,2022-07-14,Sampurna,3,304.5,94.25,7.665,10.0,2022-07-14_Sampurna,4,1,0,KOTA BANDUNG
2361,2022-07-14,Sariasih,2,443.0,79.0,10.3,3.0,2022-07-14_Sariasih,1,1,3,KOTA BANDUNG
2362,2022-07-14,Sarijadi,3,566.0,91.0,13.49,6.0,2022-07-14_Sarijadi,1,0,3,KOTA BANDUNG
2363,2022-07-14,Sarimanah,2,480.0,62.0,13.5075,4.5,2022-07-14_Sarimanah,1,0,3,KOTA BANDUNG
2364,2022-07-14,Sariwangi,3,263.0,105.0,7.79,6.0,2022-07-14_Sariwangi,4,1,0,KOTA BANDUNG
2365,2022-07-14,Sederhana,3,597.5,118.25,10.3475,14.0,2022-07-14_Sederhana,1,1,3,KOTA BANDUNG
2366,2022-07-14,Sekejati,3,690.0,242.25,8.1125,9.0,2022-07-14_Sekejati,4,1,0,KOTA BANDUNG
2367,2022-07-14,Sentot Alibasyah,3,290.0,108.0,6.255,8.5,2022-07-14_Sentot Alibasyah,4,1,0,KOTA BANDUNG
2368,2022-07-14,Sersan Bajuri,2,789.0,110.0,13.32,7.0,2022-07-14_Sersan Bajuri,1,0,3,KOTA BANDUNG
2369,2022-07-14,Siliwangi,2,760.0,92.0,14.5425,10.0,2022-07-14_Siliwangi,1,0,3,KOTA BANDUNG
2370,2022-07-14,Sindang Sari,2,381.0,87.0,9.83,8.0,2022-07-14_Sindang Sari,4,1,0,KOTA BANDUNG
2371,2022-07-14,Sindang Sirna,3,297.0,107.0,7.3,12.0,2022-07-14_Sindang Sirna,4,1,0,KOTA BANDUNG
2372,2022-07-14,Sirnamanah,4,242.0,345.0,2.31,30.0,2022-07-14_Sirnamanah,4,1,0,KOTA BANDUNG
2373,2022-07-14,Soekarno-Hatta,2,729.0,90.0,17.04,6.0,2022-07-14_Soekarno-Hatta,1,0,3,KOTA BANDUNG
2374,2022-07-14,Soekarno-Hatta (Jalur Lambat),2,1351.0,92.0,23.345,14.0,2022-07-14_Soekarno-Hatta (Jalur Lambat),0,0,2,KOTA BANDUNG
2375,2022-07-14,Sripohaci,3,135.0,201.0,1.545,7.5,2022-07-14_Sripohaci,4,1,0,KOTA BANDUNG
2376,2022-07-14,Sriwijaya,2,608.0,90.0,13.2075005,5.5,2022-07-14_Sriwijaya,1,0,3,KOTA BANDUNG
