iter	Passed	Remaining
462	779	904
463	782	903
464	783	901
465	785	900
466	787	898
467	788	896
468	789	894
469	791	892
470	793	891
471	794	889
472	796	887
473	797	885
474	799	883
475	800	881
476	802	879
477	803	877
478	805	875
479	807	874
480	809	872
481	810	870
482	811	868
483	812	866
484	814	864
485	815	863
486	817	861
487	819	859
488	820	857
489	822	856
490	823	853
491	825	852
492	826	849
493	828	848
494	829	846
495	830	844
496	832	842
497	834	840
498	835	839
499	837	837
500	838	835
501	840	833
502	841	831
503	842	829
504	844	827
505	846	826
506	847	824
507	849	822
508	851	821
509	852	819
510	854	817
511	855	815
512	857	813
513	858	812
514	860	810
515	861	808
516	863	806
517	865	805
518	866	803
519	868	801
520	869	799
521	871	797
522	872	796
523	874	794
524	875	792
525	877	790
526	879	788
527	880	787
528	881	784
529	882	783
530	884	781
531	885	779
532	887	777
533	889	775
534	891	774
535	892	773
536	894	771
537	896	770
538	898	768
539	899	766
540	901	764
541	902	762
542	904	761
543	905	759
544	907	757
545	909	755
546	910	754
547	912	752
548	913	750
549	915	748
550	916	746
551	917	745
552	919	743
553	920	741
554	922	739
555	923	737
556	925	735
557	926	733
558	928	732
559	929	730
560	931	728
561	933	727
562	934	725
563	936	723
564	937	722
565	939	720
566	941	718
567	943	717
568	944	715
569	945	713
570	947	712
571	949	710
572	950	708
573	951	706
574	953	704
575	954	702
576	956	701
577	957	699
578	959	697
579	960	695
580	962	694
581	963	692
582	965	690
583	966	688
584	967	686
585	969	685
586	971	683
587	972	681
588	974	679
589	975	677
590	977	676
591	978	674
592	980	673
593	982	671
594	984	670
595	986	669
596	988	667
597	989	665
598	991	663
599	992	661
600	994	660
601	996	658
602	997	656
603	999	655
604	1001	653
605	1003	652
606	1004	650
607	1006	648
608	1007	646
609	1009	645
610	1010	643
611	1012	641
612	1013	639
613	1014	638
614	1016	636
615	1018	634
616	1019	632
617	1021	631
618	1022	629
619	1023	627
620	1025	625
621	1026	623
622	1028	622
623	1029	620
624	1031	619
625	1033	617
626	1034	615
627	1036	613
628	1037	612
629	1039	610
630	1040	608
631	1042	607
632	1043	605
633	1045	603
634	1047	601
635	1048	600
636	1050	598
637	1051	596
638	1053	594
639	1054	593
640	1056	591
641	1057	589
642	1059	587
643	1060	586
644	1061	584
645	1063	582
646	1064	580
647	1065	578
648	1067	577
649	1069	575
650	1070	573
651	1072	572
652	1073	570
653	1075	568
654	1077	567
655	1078	565
656	1079	563
657	1081	562
658	1082	560
659	1084	558
660	1085	556
661	1087	555
662	1089	553
663	1090	551
664	1092	550
665	1094	548
666	1095	546
667	1097	545
668	1098	543
669	1100	541
670	1101	540
671	1103	538
672	1104	536
673	1105	534
674	1107	533
675	1109	531
676	1110	529
677	1112	528
678	1113	526
679	1115	524
680	1116	523
681	1118	521
682	1119	519
683	1121	518
684	1123	516
685	1125	515
686	1126	513
687	1128	511
688	1130	510
689	1131	508
690	1132	506
691	1134	504
692	1136	503
693	1138	502
694	1140	500
695	1142	498
696	1143	497
697	1145	495
698	1146	493
699	1148	492
700	1149	490
701	1151	488
702	1152	487
703	1154	485
704	1155	483
705	1157	481
706	1158	480
707	1160	478
708	1161	476
709	1163	475
710	1165	473
711	1166	471
712	1168	470
713	1169	468
714	1172	467
715	1173	465
716	1175	463
717	1177	462
718	1178	460
719	1180	459
720	1182	457
721	1183	455
722	1185	454
723	1187	452
724	1188	450
725	1190	449
726	1191	447
727	1193	445
728	1195	444
729	1196	442
730	1198	441
731	1200	439
732	1201	437
733	1203	435
734	1205	434
735	1206	432
736	1209	431
737	1210	429
738	1212	428
739	1213	426
740	1214	424
741	1216	423
742	1218	421
743	1219	419
744	1221	418
745	1223	416
746	1225	414
747	1227	413
748	1228	411
749	1230	410
750	1231	408
751	1233	406
752	1234	405
753	1236	403
754	1238	401
755	1239	400
756	1240	398
757	1242	396
758	1244	395
759	1245	393
760	1247	391
761	1248	390
762	1250	388
763	1252	386
764	1254	385
765	1255	383
766	1257	381
767	1259	380
768	1260	378
769	1262	377
770	1264	375
771	1265	373
772	1267	372
773	1268	370
774	1270	368
775	1271	367
776	1273	365
777	1275	363
778	1276	362
779	1278	360
780	1279	358
781	1281	357
782	1283	355
783	1284	353
784	1286	352
785	1287	350
786	1289	348
787	1290	347
788	1292	345
789	1293	343
790	1295	342
791	1297	340
792	1298	339
793	1300	337
794	1302	335
795	1303	334
796	1305	332
797	1306	330
798	1308	329
799	1309	327
800	1311	325
801	1313	324
802	1314	322
803	1316	320
804	1317	319
805	1319	317
806	1321	315
807	1322	314
808	1324	312
809	1326	311
810	1328	309
811	1329	307
812	1330	306
813	1332	304
814	1333	302
815	1335	301
816	1336	299
817	1338	297
818	1340	296
819	1341	294
820	1342	292
821	1344	291
822	1345	289
823	1347	287
824	1349	286
825	1350	284
826	1352	282
827	1353	281
828	1355	279
829	1356	277
830	1358	276
831	1359	274
832	1361	272
833	1362	271
834	1364	269
835	1365	267
836	1367	266
837	1368	264
838	1369	262
839	1371	261
840	1372	259
841	1374	257
842	1376	256
843	1378	254
844	1380	253
845	1381	251
846	1383	249
847	1385	248
848	1386	246
849	1388	245
850	1390	243
851	1392	241
852	1393	240
853	1394	238
854	1396	236
855	1398	235
856	1399	233
857	1401	231
858	1402	230
859	1404	228
860	1406	227
861	1408	225
862	1409	223
863	1411	222
864	1413	220
865	1415	218
866	1416	217
867	1418	215
868	1420	214
869	1421	212
870	1423	210
871	1425	209
872	1427	207
873	1428	205
874	1430	204
875	1431	202
876	1433	201
877	1434	199
878	1436	197
879	1437	196
880	1439	194
881	1440	192
882	1442	191
883	1443	189
884	1445	187
885	1447	186
886	1448	184
887	1449	182
888	1451	181
889	1452	179
890	1454	177
891	1456	176
892	1457	174
893	1459	173
894	1460	171
895	1462	169
896	1463	168
897	1465	166
898	1467	164
899	1469	163
900	1470	161
901	1471	159
902	1473	158
903	1475	156
904	1476	154
905	1478	153
906	1479	151
907	1481	150
908	1483	148
909	1484	146
910	1486	145
911	1487	143
912	1489	141
913	1490	140
914	1492	138
915	1493	136
916	1495	135
917	1497	133
918	1498	132
919	1500	130
920	1502	128
921	1503	127
922	1505	125
923	1506	123
924	1508	122
925	1510	120
926	1512	119
927	1513	117
928	1515	115
929	1517	114
930	1518	112
931	1520	110
932	1521	109
933	1523	107
934	1524	105
935	1526	104
936	1528	102
937	1529	101
938	1530	99
939	1532	97
940	1534	96
941	1535	94
942	1537	92
943	1538	91
944	1540	89
945	1541	88
946	1543	86
947	1545	84
948	1546	83
949	1547	81
950	1549	79
951	1550	78
952	1552	76
953	1553	74
954	1555	73
955	1557	71
956	1558	70
957	1560	68
958	1561	66
959	1563	65
960	1564	63
961	1566	61
962	1567	60
963	1569	58
964	1570	56
965	1572	55
966	1573	53
967	1575	52
968	1577	50
969	1578	48
970	1580	47
971	1581	45
972	1583	43
973	1584	42
974	1586	40
975	1588	39
976	1589	37
977	1591	35
978	1592	34
979	1594	32
980	1595	30
981	1597	29
982	1598	27
983	1600	26
984	1601	24
985	1603	22
986	1605	21
987	1606	19
988	1608	17
989	1610	16
990	1612	14
991	1614	13
992	1615	11
993	1617	9
994	1619	8
995	1620	6
996	1622	4
997	1623	3
998	1625	1
999	1627	0
