iter	RMSE
181	2.886179287
182	2.884404592
183	2.883025771
184	2.882716947
185	2.880776529
186	2.878863419
187	2.877633675
188	2.875768443
189	2.873127688
190	2.871977001
191	2.870833678
192	2.868727025
193	2.866194193
194	2.865289237
195	2.862725973
196	2.861976423
197	2.8608765
198	2.859462281
199	2.857174812
200	2.855342394
201	2.853150422
202	2.851357252
203	2.849218849
204	2.847079591
205	2.844833024
206	2.843593972
207	2.841868167
208	2.83985048
209	2.838471877
210	2.838262721
211	2.836989083
212	2.834526256
213	2.832472608
214	2.830478999
215	2.828500119
216	2.826582422
217	2.825292666
218	2.824004085
219	2.822998136
220	2.821852823
221	2.819325146
222	2.817933982
223	2.817261436
224	2.815313972
225	2.813919985
226	2.811175561
227	2.80792135
228	2.805898184
229	2.803590466
230	2.801906876
231	2.799023173
232	2.797817316
233	2.796703451
234	2.794961646
235	2.793065508
236	2.791330557
237	2.789598246
238	2.787961806
239	2.787028859
240	2.785160407
241	2.784122471
242	2.781559946
243	2.778711643
244	2.777855371
245	2.775214173
246	2.772874038
247	2.77118323
248	2.770170592
249	2.769187231
250	2.767613961
251	2.766286882
252	2.765134155
253	2.763307936
254	2.762096606
255	2.759906502
256	2.757889599
257	2.756718819
258	2.75513162
259	2.753810587
260	2.753057755
261	2.751588177
262	2.750029436
263	2.748695778
264	2.747131669
265	2.746011415
266	2.744358154
267	2.743369804
268	2.741533596
269	2.740191614
270	2.739544531
271	2.738659611
272	2.737896619
273	2.736896524
274	2.735256089
275	2.733913041
276	2.732544019
277	2.731990959
278	2.730704255
279	2.729204021
280	2.727813273
281	2.727144906
282	2.725719367
283	2.724268008
284	2.722154883
285	2.720791101
286	2.718958759
287	2.717550265
288	2.71625048
289	2.716039115
290	2.715295266
291	2.714234399
292	2.713523458
293	2.712710785
294	2.711367941
295	2.709052772
296	2.708021793
297	2.70620504
298	2.705925581
299	2.703616391
300	2.702439452
301	2.701370779
302	2.699871942
303	2.698923443
304	2.697657117
305	2.696464047
306	2.69597993
307	2.69467514
308	2.692952482
309	2.690719071
310	2.68977224
311	2.689094027
312	2.687537854
313	2.686535608
314	2.684691326
315	2.683024605
316	2.682354647
317	2.681118331
318	2.679293285
319	2.678066157
320	2.675282369
321	2.674387469
322	2.673268188
323	2.672362177
324	2.671444939
325	2.669628632
326	2.669017246
327	2.666884163
328	2.665907144
329	2.664310989
330	2.662844485
331	2.662016713
332	2.659521965
333	2.658641242
334	2.658001063
335	2.656898374
336	2.654455032
337	2.653119707
338	2.650644647
339	2.64938852
340	2.648211912
341	2.647778306
342	2.646078703
343	2.645088098
344	2.643778712
345	2.642473209
346	2.64187609
347	2.640991379
348	2.639804954
349	2.638734501
350	2.638041483
351	2.637397697
352	2.636429591
353	2.635310311
354	2.634692855
355	2.633266362
356	2.632411471
357	2.631582288
358	2.631291541
359	2.629475163
360	2.628518551
361	2.627453088
362	2.625614138
363	2.623559456
364	2.622443333
365	2.620820343
366	2.618514277
367	2.617066172
368	2.615749326
369	2.614509158
370	2.613297743
371	2.612294429
372	2.611191628
373	2.61086696
374	2.609969809
375	2.608811867
376	2.607038078
377	2.60564734
378	2.603878447
379	2.602979485
380	2.602149378
381	2.600716727
382	2.599343626
383	2.597833644
384	2.596624476
385	2.594960176
386	2.594087408
387	2.592541591
388	2.59158898
389	2.590536262
390	2.589502955
391	2.588303973
392	2.587689278
393	2.587122553
394	2.585527682
395	2.584372013
396	2.582457231
397	2.580627987
398	2.580233989
399	2.57918922
400	2.578368509
401	2.576922544
402	2.575482538
403	2.574526599
404	2.574140565
405	2.573231488
406	2.572216113
407	2.571206677
408	2.569823241
409	2.569018895
410	2.567458073
411	2.566360338
412	2.56432187
413	2.563807142
414	2.562106906
415	2.561108574
416	2.5595429
417	2.558211176
418	2.556883672
419	2.555856535
420	2.554736573
421	2.553570724
422	2.552192356
423	2.551074749
424	2.550300045
425	2.549435762
426	2.548695824
427	2.547928622
428	2.546537646
429	2.545027973
430	2.54414009
431	2.542948227
432	2.541613167
433	2.540219895
434	2.539841411
435	2.538958488
436	2.538123729
437	2.537848979
438	2.536770489
439	2.53529821
440	2.533945776
441	2.53255131
442	2.532422992
443	2.532015575
444	2.531701658
445	2.530090506
446	2.528146681
447	2.52744918
448	2.526871232
449	2.526245041
450	2.524942272
451	2.523992814
452	2.523004
453	2.522031273
454	2.521310674
455	2.520106737
456	2.519232457
457	2.517795161
458	2.516569885
459	2.515258385
460	2.514150098
461	2.51391314
462	2.512514292
463	2.511462493
464	2.511151123
465	2.509611218
466	2.507792842
467	2.507224582
468	2.505838934
469	2.505326553
470	2.504250365
471	2.503479273
472	2.502626966
473	2.501504573
474	2.50035759
475	2.49941977
476	2.497940589
477	2.497557868
478	2.496986526
479	2.496059795
480	2.49443595
481	2.493322254
482	2.492530682
483	2.491955052
484	2.490960899
485	2.490623607
486	2.489384622
487	2.488378497
488	2.487721981
489	2.486628728
490	2.486199109
491	2.484302215
492	2.482963525
493	2.481804717
494	2.480093945
495	2.479824554
496	2.478336844
497	2.477803823
498	2.477323014
499	2.476473816
500	2.47527587
501	2.473802348
502	2.473080032
503	2.471632265
504	2.4705727
505	2.46980286
506	2.469137379
507	2.467460169
508	2.465980842
509	2.464736777
510	2.463543775
511	2.462353357
512	2.461390584
513	2.460483369
514	2.459739884
515	2.458619934
516	2.457935099
517	2.457758945
518	2.456809424
519	2.455854554
520	2.455205422
521	2.453865697
522	2.452907495
523	2.452020622
524	2.451684143
525	2.450666089
526	2.449431088
527	2.448351966
528	2.447662338
529	2.446683108
530	2.446073202
531	2.445514801
532	2.445176477
533	2.444203632
534	2.443016027
535	2.442351522
536	2.441185203
537	2.440089441
538	2.43909913
539	2.437559606
540	2.436272088
541	2.435254603
542	2.434647821
543	2.433750815
544	2.432558783
545	2.43156447
546	2.43072972
547	2.430112874
548	2.429333644
549	2.428288956
550	2.42757207
551	2.425918886
552	2.424192808
553	2.423447025
554	2.422389372
555	2.422017731
556	2.42124195
557	2.420453276
558	2.41942675
559	2.418250284
560	2.417332157
561	2.416545335
562	2.415632563
563	2.414636444
564	2.414131208
565	2.412909877
566	2.412494284
567	2.411838566
568	2.411392924
569	2.410961485
570	2.409976246
571	2.409559536
572	2.408649354
573	2.408051632
574	2.407517336
575	2.407454403
576	2.406165298
577	2.405350166
578	2.405082182
579	2.404313273
580	2.403372423
581	2.40280034
582	2.402688133
583	2.402671892
584	2.402044048
585	2.401221564
586	2.400573755
587	2.399216142
588	2.398298406
589	2.397688705
590	2.396907505
591	2.396274149
592	2.39470085
593	2.393953478
594	2.393745545
595	2.393037296
596	2.39162022
597	2.391063425
598	2.389885404
599	2.388765938
600	2.387680989
601	2.387036192
602	2.386243633
603	2.385689033
604	2.38492842
605	2.384239265
606	2.383113707
607	2.381690587
608	2.380884934
609	2.379580205
610	2.378426938
611	2.37731056
612	2.376629868
613	2.376071431
614	2.375662448
615	2.374895359
616	2.373925673
617	2.373672336
618	2.372101557
619	2.37208887
620	2.371559876
621	2.370017548
622	2.369465117
623	2.368346348
624	2.367179702
625	2.366729259
626	2.365853534
627	2.36480084
628	2.36384763
629	2.362879561
630	2.361866516
631	2.361064546
632	2.359618918
633	2.358321632
634	2.3573839
635	2.357159974
636	2.356160548
637	2.354908933
638	2.353428374
639	2.352901921
640	2.351933254
641	2.351550159
642	2.350695228
643	2.349906031
644	2.349270112
645	2.349080677
646	2.34906875
647	2.348533894
648	2.348279609
649	2.347926502
650	2.347762081
651	2.346636785
652	2.346133697
653	2.346007989
654	2.345924666
655	2.345639032
656	2.345221226
657	2.344627223
658	2.344529448
659	2.344446538
660	2.343212908
661	2.343200865
662	2.342609752
663	2.341674747
664	2.340261233
665	2.339831631
666	2.338493921
667	2.338095673
668	2.338057285
669	2.33629655
670	2.335388261
671	2.335068234
672	2.334224351
673	2.334212967
674	2.333255461
675	2.332447971
676	2.331819665
677	2.330998466
678	2.330651218
679	2.32995094
680	2.329904137
681	2.329179467
682	2.328552528
683	2.327450094
684	2.326577007
685	2.325456441
686	2.324782837
687	2.324117507
688	2.323163817
689	2.3226252
690	2.322004206
691	2.321563831
692	2.32030434
693	2.319459358
694	2.31836905
695	2.317723126
696	2.317239482
697	2.317135026
698	2.317125302
699	2.316226403
700	2.316129873
701	2.315540026
702	2.314456062
703	2.313433558
704	2.312474225
705	2.312400929
706	2.312394286
707	2.312385385
708	2.311435577
709	2.31073935
710	2.309737539
711	2.308291592
712	2.307376089
713	2.306968452
714	2.306045368
715	2.30581692
716	2.305211689
717	2.304117675
718	2.303190663
719	2.302016516
720	2.30098831
721	2.300291904
722	2.29868243
723	2.297848333
724	2.297373728
725	2.296692747
726	2.295607793
727	2.29470206
728	2.294269506
729	2.292935689
730	2.292247306
731	2.291180042
732	2.290477618
733	2.290410663
734	2.289066472
735	2.288402206
736	2.288396161
737	2.287775032
738	2.287761377
739	2.287144578
740	2.286916391
741	2.286123035
742	2.284956618
743	2.284182665
744	2.283720592
745	2.282328519
746	2.281700572
747	2.280926033
748	2.280112523
749	2.279349006
750	2.278803883
751	2.278774204
752	2.278405844
753	2.277876523
754	2.277037958
755	2.276626638
756	2.275911456
757	2.275526055
758	2.274395875
759	2.273487232
760	2.272916275
761	2.272217018
762	2.271783607
763	2.270957747
764	2.269630451
765	2.269007893
766	2.268637993
767	2.267788931
768	2.267569195
769	2.266723883
770	2.265950841
771	2.265685079
772	2.265147584
773	2.264470192
774	2.263621751
775	2.263342442
776	2.262262044
777	2.261420983
778	2.260998024
779	2.260342551
780	2.260027256
781	2.259322293
782	2.258208068
783	2.257402425
784	2.256238435
785	2.255422367
786	2.254657572
787	2.253832877
788	2.252139669
789	2.251291271
790	2.250430447
791	2.249435356
792	2.248520547
793	2.247737864
794	2.246767274
795	2.246254581
796	2.245527594
797	2.245106161
798	2.244085672
799	2.243427117
800	2.242172355
801	2.241247416
802	2.239994579
803	2.239488578
804	2.238665244
805	2.237905969
806	2.237372774
807	2.236874065
808	2.235939421
809	2.235129164
810	2.234337205
811	2.233574784
812	2.233569855
813	2.232526293
814	2.232522535
815	2.231509616
816	2.230507308
817	2.229393099
818	2.229352032
819	2.228758898
820	2.228209972
821	2.227229599
822	2.22657733
823	2.225686074
824	2.224770676
825	2.224128955
826	2.22329551
827	2.222093394
828	2.221450405
829	2.221001194
830	2.22020339
831	2.219774866
832	2.219070147
833	2.218190076
834	2.217724553
835	2.216918571
836	2.216885366
837	2.215940854
838	2.215047388
839	2.213835887
840	2.212381457
841	2.211067636
842	2.210387184
843	2.209117737
844	2.208489874
845	2.207437963
846	2.206480888
847	2.206114537
848	2.205374086
849	2.204743594
850	2.204274716
851	2.203619244
852	2.20296215
853	2.20232675
854	2.201144065
855	2.200446273
856	2.199258505
857	2.198426509
858	2.197403418
859	2.196799071
860	2.195716816
861	2.195244778
862	2.194672536
863	2.194299649
864	2.193311672
865	2.192518723
866	2.191778561
867	2.190851055
868	2.189790181
869	2.189085096
870	2.188390145
871	2.187751755
872	2.187684349
873	2.186870081
874	2.186563044
875	2.186268465
876	2.184933505
877	2.183637234
878	2.183016111
879	2.181807801
880	2.181129518
881	2.181064082
882	2.18043058
883	2.179444046
884	2.178912399
885	2.178219714
886	2.177177161
887	2.176875976
888	2.176029243
889	2.175198765
890	2.174618925
891	2.173713558
892	2.172829671
893	2.172486329
894	2.171587388
895	2.171045193
896	2.171041536
897	2.169869444
898	2.16900153
899	2.168148447
900	2.167840445
901	2.167351397
902	2.166190672
903	2.164925764
904	2.164162722
905	2.162931101
906	2.162110658
907	2.161213523
908	2.160605303
909	2.159942007
910	2.158856408
911	2.157646723
912	2.156933781
913	2.15637902
914	2.155753161
915	2.15526023
916	2.154324265
917	2.153606832
918	2.152544269
919	2.151619795
920	2.15088562
921	2.150562586
922	2.150557726
923	2.149992531
924	2.149052337
925	2.148083889
926	2.14723106
927	2.146135466
928	2.145554835
929	2.144969475
930	2.143778627
931	2.143249352
932	2.142722406
933	2.142011517
934	2.141637923
935	2.14063256
936	2.139919383
937	2.138578857
938	2.138155066
939	2.137529915
940	2.136859007
941	2.136351331
942	2.135810209
943	2.135806061
944	2.135208749
945	2.134514405
946	2.134032537
947	2.133817125
948	2.133612215
949	2.133129355
950	2.13213416
951	2.131154184
952	2.130509891
953	2.130504495
954	2.129992189
955	2.129321154
956	2.128585941
957	2.128062449
958	2.127061856
959	2.126303113
960	2.125640658
961	2.125012482
962	2.124185677
963	2.123384042
964	2.122739254
965	2.122118849
966	2.121199326
967	2.120587637
968	2.120198207
969	2.119727272
970	2.119724334
971	2.118697251
972	2.118078068
973	2.117288361
974	2.117003675
975	2.115805076
976	2.115457874
977	2.114586581
978	2.113961112
979	2.113432306
980	2.112710598
981	2.112707881
982	2.111815363
983	2.11152697
984	2.110688872
985	2.110099863
986	2.109905673
987	2.108912308
988	2.108406207
989	2.107475076
990	2.106564542
991	2.105774204
992	2.105087429
993	2.10445638
994	2.10369877
995	2.103694044
996	2.102478054
997	2.101445579
998	2.10019908
999	2.099747681
